cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002423,C0030123,USES,ambulatory care services,4-Aminohippuric Acid,hlca,irda,1,USES_HLCAusesIRDA
C0030685,C0006353,USES,Patient Discharge,Buffers,hlca,irda,1,USES_HLCAusesIRDA
C0030685,C0010467,USES,Patient Discharge,Curcumin,hlca,irda,3,USES_HLCAusesIRDA
C0031809,C0182638,USES,Physical Examination,Radiopharmaceuticals,hlca,irda,1,USES_HLCAusesIRDA
C0034117,C0991865,USES,Puncture procedure,PHOSPHATE BUFFERS,hlca,irda,1,USES_HLCAusesIRDA
C0204695,C0006353,USES,Feeding patient,Buffers,hlca,irda,1,USES_HLCAusesIRDA
C0206056,C0022115,USES,Microdialysis,Isatin,hlca,irda,1,USES_HLCAusesIRDA
C0220825,C0018964,USES,Evaluation,Hematoxylin,hlca,irda,15,USES_HLCAusesIRDA
C0220825,C0049832,USES,Evaluation,7-aminoactinomycin D,hlca,irda,1,USES_HLCAusesIRDA
C0220825,C0386370,USES,Evaluation,ferumoxtran-10,hlca,irda,1,USES_HLCAusesIRDA
C0220908,C0001771,USES,Screening procedure,Agar,hlca,irda,1,USES_HLCAusesIRDA
C0220908,C0006353,USES,Screening procedure,Buffers,hlca,irda,1,USES_HLCAusesIRDA
C0220908,C0030123,USES,Screening procedure,4-Aminohippuric Acid,hlca,irda,1,USES_HLCAusesIRDA
C0220908,C0054053,USES,Screening procedure,brilliant green,hlca,irda,1,USES_HLCAusesIRDA
C0220908,C0065078,USES,Screening procedure,lissamine rhodamine B,hlca,irda,1,USES_HLCAusesIRDA
C0558024,C0006353,USES,Functional behavioral assessment,Buffers,hlca,irda,1,USES_HLCAusesIRDA
C1261322,C0018964,USES,Evaluation procedure,Hematoxylin,hlca,irda,1,USES_HLCAusesIRDA
C1514918,C0006353,USES,Retrieval,Buffers,hlca,irda,5,USES_HLCAusesIRDA
