cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002917,C4282968,USES,"Anesthesia, Inhalation",Propofol Injection,topp,clnd,1,USES_TOPPusesCLND
C0003424,C2347652,USES,Antisepsis,Povidone-Iodine Solution,topp,clnd,1,USES_TOPPusesCLND
C0007430,C0990166,USES,Catheterization,Sodium Chloride 0.154 MEQ/ML,topp,clnd,1,USES_TOPPusesCLND
C0009429,C1677789,USES,Combined Modality Therapy,Ribavirin 600 MG,topp,clnd,1,USES_TOPPusesCLND
C0011121,C1381542,USES,Decontamination,Ethanol 70%,topp,clnd,1,USES_TOPPusesCLND
C0016286,C0308944,USES,Fluid Therapy,Oral electrolyte solution,topp,clnd,1,USES_TOPPusesCLND
C0020944,C0872351,USES,Immobilization,monolayer,topp,clnd,3,USES_TOPPusesCLND
C0021107,C0872351,USES,Implantation procedure,monolayer,topp,clnd,3,USES_TOPPusesCLND
C0021440,C0980221,USES,Intravenous infusion procedures,Sodium Chloride 9 MG/ML Injectable Solution,topp,clnd,4,USES_TOPPusesCLND
C0034997,C0308944,USES,Rehydration,Oral electrolyte solution,topp,clnd,1,USES_TOPPusesCLND
C0042196,C0872351,USES,Vaccination,monolayer,topp,clnd,6,USES_TOPPusesCLND
C0079159,C0308158,USES,Conscious Sedation,Lidocaine Injectable Solution [Xylocaine],topp,clnd,2,USES_TOPPusesCLND
C0086904,C0990166,USES,Oral rehydration procedure,Sodium Chloride 0.154 MEQ/ML,topp,clnd,1,USES_TOPPusesCLND
C0152060,C0872351,USES,Transection (procedure),monolayer,topp,clnd,1,USES_TOPPusesCLND
C0184967,C0872351,USES,Insertion of pack (procedure),monolayer,topp,clnd,1,USES_TOPPusesCLND
C0185115,C0304468,USES,Extraction,Acetic acid solution,topp,clnd,1,USES_TOPPusesCLND
C0185115,C1381542,USES,Extraction,Ethanol 70%,topp,clnd,3,USES_TOPPusesCLND
C0194423,C0990166,USES,Bladder irrigation procedure,Sodium Chloride 0.154 MEQ/ML,topp,clnd,1,USES_TOPPusesCLND
C0204727,C0872351,USES,Isolation procedure,monolayer,topp,clnd,1,USES_TOPPusesCLND
C0280274,C0983012,USES,Antiviral Therapy,Acyclovir 800 MG,topp,clnd,1,USES_TOPPusesCLND
C0349707,C0352155,USES,Aspiration-action,Chlorhexidine Mouthwash,topp,clnd,1,USES_TOPPusesCLND
C0412792,C1305553,USES,Preoxygenation,Oxygen 100 %,topp,clnd,1,USES_TOPPusesCLND
C1261381,C0872351,USES,Destructive procedure (surgical),monolayer,topp,clnd,5,USES_TOPPusesCLND
C1443861,C1126043,USES,Post-Exposure Prophylaxis,Oseltamivir 75 MG,topp,clnd,1,USES_TOPPusesCLND
C1511790,C0872351,USES,Detection,monolayer,topp,clnd,3,USES_TOPPusesCLND
C1659427,C1124741,USES,Nebulization,Albuterol 2 MG,topp,clnd,1,USES_TOPPusesCLND
C1708063,C0357949,USES,First line treatment,Topical form antihistamine,topp,clnd,1,USES_TOPPusesCLND
C1963724,C3505765,USES,Antiretroviral therapy,darunavir 800 MG,topp,clnd,1,USES_TOPPusesCLND
