cui,type,name
C0003087,bsoj,Ankle joint structure
C0005853,bsoj,Blood-Air Barrier
C0007769,bsoj,Cerebral aqueduct
C0007799,bsoj,Cerebral Ventricles
C0010265,bsoj,Structure of posterior fossa of cranial cavity
C0013075,bsoj,Structure of rectouterine pouch
C0013455,bsoj,middle ear
C0014871,bsoj,Esophagogastric Junction
C0015028,bsoj,Ethmoid sinus structure
C0015352,bsoj,Extracellular Space
C0016125,bsoj,Finger joint structure
C0016734,bsoj,Frontal Sinus
C0019558,bsoj,Hip Joint
C0021721,bsoj,Intercellular Junctions
C0022417,bsoj,Joints
C0022745,bsoj,Knee joint
C0024957,bsoj,Maxillary Sinus
C0025525,bsoj,Metacarpophalangeal joint structure
C0027423,bsoj,Nasal cavity
C0029180,bsoj,Ocular orbit
C0029922,bsoj,Vestibular window structure
C0030471,bsoj,Nasal sinus
C0035359,bsoj,Retroperitoneal Space
C0035878,bsoj,Structure of cochlear window
C0037009,bsoj,Joint structure of shoulder region
C0037885,bsoj,Sphenoidal sinus
C0037922,bsoj,Spinal Canal
C0038527,bsoj,Subarachnoid Space
C0038541,bsoj,Subdural space
C0039062,bsoj,Synapses
C0039493,bsoj,Temporomandibular Joint
C0042606,bsoj,Vestibule
C0086881,bsoj,Pulp Canals
C0149555,bsoj,Third ventricle structure
C0149556,bsoj,Fourth ventricle structure
C0152279,bsoj,Lateral ventricle structure
C0162485,bsoj,Zygomatic Arch
C0178718,bsoj,intercellular connection
C0178802,bsoj,Pleural cavity
C0206117,bsoj,Gap Junctions
C0221929,bsoj,Dermoepidermal junction
C0221941,bsoj,Mucocutaneous junction
C0222607,bsoj,Breast collecting duct
C0222634,bsoj,Teat canal
C0222662,bsoj,Medullary cavity of bone
C0222666,bsoj,Structure of epiphyseal line
C0222711,bsoj,Internal acoustic meatus of temporal bone
C0224497,bsoj,Articular space
C0224507,bsoj,Synovial joint structure
C0224508,bsoj,Structure of ginglymus
C0224517,bsoj,Dento-alveolar joint
C0224527,bsoj,Structure of coronal suture of skull
C0224540,bsoj,Structure of frontal suture of skull
C0224548,bsoj,Structure of fontanel of skull
C0224577,bsoj,Symphysis structure of mandible
C0224683,bsoj,Chondrocostal synchondrosis structure
C0225297,bsoj,Structure of pudendal canal
C0225298,bsoj,Structure of retropubic space
C0225319,bsoj,Interstitial space
C0225377,bsoj,Structure of upper respiratory tract cavity
C0225432,bsoj,Structure of choanae
C0225450,bsoj,Rostral maxillary sinus
C0225465,bsoj,Infraorbital sinus
C0225566,bsoj,Laryngeal ventricle
C0225847,bsoj,Right coronary sulcus
C0225865,bsoj,Structure of ostia of pulmonary veins
C0225892,bsoj,Structure of outflow tract of right ventricle
C0225972,bsoj,Pericardial cavity
C0225983,bsoj,Structure of perivascular space
C0226028,bsoj,Structure of ostium of coronary artery
C0226859,bsoj,Superior sagittal sinus
C0226864,bsoj,Structure of transverse sinus
C0226895,bsoj,Structure of rima oris
C0226896,bsoj,Oral cavity
C0226924,bsoj,Commissure of the Lip
C0227148,bsoj,Structure of lateral pharyngeal space
C0227194,bsoj,Structure of esophageal lumen
C0227203,bsoj,Structure of gastric foveola
C0227312,bsoj,Structure of jejunal lumen
C0227348,bsoj,Colonic lumen
C0227411,bsoj,Anal canal
C0227498,bsoj,Structure of porta hepatis
C0227530,bsoj,Space of Disse
C0227710,bsoj,Structure of urinary bladder cavity
C0227841,bsoj,Cervical canal structure
C0227844,bsoj,Uterine cavity
C0228110,bsoj,Structure of virchow-Robin space
C0228115,bsoj,Structure of meningeal spaces
C0228142,bsoj,Spinal subdural space
C0228150,bsoj,Cisterna superioris
C0228151,bsoj,Structure of cisterna interpeduncularis
C0228168,bsoj,Aqueduct
C0228187,bsoj,Structure of fissure of Sylvius
C0228188,bsoj,Structure of central sulcus
C0228243,bsoj,Lateral occipitotemporal gyrus
C0228258,bsoj,Structure of Reil's limiting sulcus
C0229247,bsoj,Medial canthus
C0229289,bsoj,Lacrimal sac
C0229337,bsoj,Right external auditory canal structure
C0229338,bsoj,Left external auditory canal structure
C0229390,bsoj,Recessus epitympanicus structure
C0229427,bsoj,Pneumatic mastoid cell
C0229495,bsoj,Perilymphatic space
C0229689,bsoj,Splenic sinusoids
C0229872,bsoj,Faucial pillar
C0229876,bsoj,Structure of tonsillar crypt
C0229984,bsoj,Anatomical space structure
C0230041,bsoj,Cranial cavity structure
C0230136,bsoj,Structure of intercostal space
C0230160,bsoj,Esophageal aperture of diaphragm
C0230212,bsoj,Omental Bursa
C0230349,bsoj,Cubital fossa
C0230843,bsoj,Inner mitochondrial space
C0230962,bsoj,Structure of placental spaces
C0231099,bsoj,Structure of palatine duct
C0242255,bsoj,Tympanic cavity
C0242358,bsoj,Tight Junctions
C0333343,bsoj,Body cavities
C0391889,bsoj,Synostosis
C0444567,bsoj,Ostium
