cui,type,name
C0064411,clnd,Krebs-Ringer solution
C0073384,clnd,Ringer's acetate
C0077548,clnd,Tyrode's solution
C0206948,clnd,gatorade
C0304468,clnd,Acetic acid solution
C0307166,clnd,xylometazoline Nasal Solution [Otrivin]
C0308158,clnd,Lidocaine Injectable Solution [Xylocaine]
C0308302,clnd,AMFOROL SUSPENSION
C0308944,clnd,Oral electrolyte solution
C0309328,clnd,Injectable iron dextran
C0309728,clnd,LONG ACTING PENICILLIN
C0310206,clnd,STERILE SALINE SOLUTION
C0352155,clnd,Chlorhexidine Mouthwash
C0357949,clnd,Topical form antihistamine
C0359746,clnd,Retin-A Cream
C0359946,clnd,tetanus injection
C0360513,clnd,Testosterone patch
C0597683,clnd,water solution
C0599396,clnd,sleeping pill
C0706544,clnd,Flurbiprofen sodium 0.3 MG/ML Ophthalmic Solution [Ocufen]
C0721369,clnd,Lioresal Intrathecal
C0723917,clnd,triple antibiotic ointment
C0782070,clnd,Nitroglycerin 0.02 MG/MG Topical Ointment
C0785689,clnd,alcohol swabs
C0788342,clnd,Soap enema
C0791514,clnd,Chlorhexidine Gluconate Solution
C0872351,clnd,monolayer
C0973919,clnd,ALCOHOL/BENZOIC ACID/EUCALYPTOL/METHYL SALICYLATE/THYMOL LIQUID
C0977735,clnd,imiquimod 50 MG/ML Topical Cream
C0980221,clnd,Sodium Chloride 9 MG/ML Injectable Solution
C0983012,clnd,Acyclovir 800 MG
C0985452,clnd,Glucose 50 MG/ML
C0985453,clnd,Glucose 500 MG/ML
C0985489,clnd,Diazepam 10 MG
C0987273,clnd,Lorazepam 2 MG
C0987814,clnd,Methylprednisolone 8 MG
C0989247,clnd,Prednisone 20 MG
C0990166,clnd,Sodium Chloride 0.154 MEQ/ML
C0992473,clnd,isoniazid 300 MG
C0993297,clnd,Cefixime 400 MG
C0993438,clnd,Oxazepam 30 MG
C1124741,clnd,Albuterol 2 MG
C1126013,clnd,Levofloxacin 750 MG
C1126043,clnd,Oseltamivir 75 MG
C1126204,clnd,valacyclovir 500 MG
C1126333,clnd,Azithromycin 500 MG
C1126659,clnd,montelukast 4 MG
C1245764,clnd,Dexamethasone Ophthalmic Suspension
C1246845,clnd,mesalamine Enema
C1248419,clnd,Zinc Gluconate Oral Lozenge
C1248424,clnd,ZINC LOZENGE
C1251647,clnd,Trifluridine Ophthalmic Solution
C1252202,clnd,Lidocaine Topical Gel
C1253623,clnd,Testosterone Topical Cream
C1289970,clnd,Intravesical BCG
C1298529,clnd,Formaldehyde 3.7%
C1305553,clnd,Oxygen 100 %
C1306088,clnd,Lidocaine Hydrochloride 100 MG/ML Mucosal Spray
C1368845,clnd,Estriol Vaginal Gel
C1381542,clnd,Ethanol 70%
C1445736,clnd,Zinc gluconate nasal gel
C1677789,clnd,Ribavirin 600 MG
C1704405,clnd,Amoxicillin 125 MG
C2092279,clnd,sodium chloride injection
C2344617,clnd,dasatinib 100 MG
C2347652,clnd,Povidone-Iodine Solution
C2722078,clnd,bepotastine Ophthalmic Solution
C2980341,clnd,meloxicam 1.5 MG/ML Oral Suspension [Metacam]
C3192374,clnd,Nicotine Nasal Spray
C3194638,clnd,chloroquine phosphate 500 MG
C3215191,clnd,Fluorouracil Topical Product
C3217334,clnd,Sulfur Topical Product
C3505765,clnd,darunavir 800 MG
C3692488,clnd,Macitentan 10 MG
C4018859,clnd,Epinephrine Injection
C4019047,clnd,cetuximab Injection
C4034120,clnd,palivizumab Injection
C4048698,clnd,dipyridamole injection
C4060412,clnd,raxibacumab Injection
C4282968,clnd,Propofol Injection
C4284262,clnd,Anti-inhibitor
