cui,type,name
C0001288,dora,Activities of Daily Living (activity)
C0006811,dora,Camping (activity)
C0008067,dora,Child Care
C0009487,dora,Commuting
C0010963,dora,Dancing
C0015259,dora,Exercise
C0016517,dora,Football game
C0018041,dora,Golf
C0019826,dora,Hobbies
C0019828,dora,Hockey
C0020748,dora,Ice Hockey
C0021189,dora,Independent Living
C0022400,dora,Jogging
C0023292,dora,Leisure Activities
C0026606,dora,Physical activity
C0026623,dora,Mountaineering
C0030405,dora,Parachuting
C0032214,dora,Play
C0034754,dora,Reading (activity)
C0034872,dora,recreational activity
C0035188,dora,Residential Selection
C0035253,dora,Rest
C0035945,dora,Rugby
C0035953,dora,Running (physical activity)
C0037393,dora,Soccer
C0038039,dora,Sports
C0039003,dora,Swimming
C0040802,dora,travel
C0043261,dora,Wrestling
C0080331,dora,Walking (activity)
C0150593,dora,game
C0150768,dora,Shopping (activity)
C0184625,dora,Normal diet
C0204792,dora,Routine care of newborn
C0221189,dora,Jumping
C0234856,dora,Speaking (activity)
C0237429,dora,reading aloud
C0242298,dora,Fostering
C0335326,dora,Cooking (activity)
C0336924,dora,Contact sport
C0336932,dora,Surfing
C0336949,dora,Bowling (activity)
C0336968,dora,Sky-diving
C0376403,dora,Tai Ji
C0441661,dora,Everyday tasks
C0522721,dora,Spelunking
C0522723,dora,Bungee jumping
C0522727,dora,Sailing
C0522728,dora,White water rafting
C0680152,dora,adventure
C0680199,dora,vacation
C0681204,dora,pilgrimage
C0681653,dora,team sports
C0681655,dora,Water Sports
C0681662,dora,olympics
C0681665,dora,World Cup
C0683585,dora,free time
C0683587,dora,tourism
C0683915,dora,sporting event
C0700382,dora,"Washing hands, function"
C0815170,dora,regular physical activity
C0868963,dora,Gardening
C0871498,dora,television viewing
C0871707,dora,daily activities
C1279744,dora,Daily bathing
C1290942,dora,Climbing stairs
C1290952,dora,Taking medication (activity)
C1305428,dora,Dressing- activity of daily living
C1456706,dora,Fitness
C1513375,dora,Moderate Exercise
C1514989,dora,Strenuous Exercise
C1517883,dora,Light Exercise
C1830412,dora,Laundry
C1998602,dora,Meal (occasion for eating)
C2350169,dora,Warm-Up Exercise
C2697949,dora,Lunch
C2699739,dora,Supper
C3273800,dora,Chore
C3489667,dora,Air Travel
C3843853,dora,Woodworking
C3890554,dora,Physical Inactivity
C4019053,dora,Arising
C4255216,dora,Hunting
C4255280,dora,Hiking
C4267713,dora,Vigorous physical activity
C4279936,dora,Exercise Training
C4279937,dora,Acute Exercise
