cui,type,name
C0001559,hlca,Inhalation Drug Administration
C0001758,hlca,Aftercare
C0002423,hlca,ambulatory care services
C0008078,hlca,Child health care
C0008093,hlca,Child Welfare
C0008952,hlca,Clinic Visits
C0009449,hlca,Communicable Disease Control
C0009470,hlca,Community Health Education
C0009586,hlca,Comprehensive Health Care
C0009818,hlca,Consultation
C0009853,hlca,Continuity of Patient Care
C0009861,hlca,Family Planning
C0010210,hlca,Counseling
C0010337,hlca,Care of intensive care unit patient
C0011017,hlca,"Day Care, Medical"
C0011143,hlca,Defensive Medicine
C0011211,hlca,Delivery of Health Care
C0011929,hlca,Diagnostic Services
C0012622,hlca,Discharge Planning
C0013164,hlca,Drug Compounding
C0013191,hlca,Drug Labeling
C0013961,hlca,Emergency medical service
C0015034,hlca,Ethnomedicine
C0015187,hlca,Euthanasia
C0015601,hlca,Family Planning Programs
C0016489,hlca,"Food Service, Hospital"
C0017313,hlca,patient care
C0018570,hlca,Hand Disinfection
C0018727,hlca,Health Planning
C0018738,hlca,Health Promotion
C0018747,hlca,Health Services
C0018749,hlca,Health Services Administration
C0018757,hlca,Health Services Research
C0018795,hlca,Cardiac Catheterization Procedures
C0019700,hlca,HIV Seroprevalence
C0019855,hlca,Home Care Services
C0019948,hlca,Hospital Administration
C0019959,hlca,"Closure, Hospital"
C0019964,hlca,Hospital Distribution Systems
C0019978,hlca,Hospital Planning
C0019982,hlca,Hospital Referral
C0019993,hlca,Hospitalization
C0020042,hlca,Hotlines
C0020043,hlca,Home visit (procedure)
C0021287,hlca,Infant Welfare
C0021626,hlca,Institutional Practice
C0021629,hlca,Institutionalization
C0021634,hlca,Insufflation
C0021682,hlca,Health Insurance
C0021688,hlca,"Insurance, Long-Term Care"
C0021711,hlca,Neonatal Intensive Care
C0023977,hlca,long-term care
C0024870,hlca,Mass Screening
C0025355,hlca,Mental Health Services
C0026214,hlca,Investigative Techniques
C0026426,hlca,Blood pressure monitoring
C0026428,hlca,"Monitoring, Immunologic"
C0027452,hlca,National Health Insurance
C0027459,hlca,National Health Programs
C0027462,hlca,"Health Services, National"
C0028702,hlca,"Nursing, Private Duty"
C0028704,hlca,"Nursing, Team"
C0028900,hlca,Office Visits
C0029162,hlca,Oral health
C0029210,hlca,Organ Procurement
C0030494,hlca,Parasite Control
C0030643,hlca,Pastoral Care
C0030672,hlca,Patient Acceptance of Health Care
C0030673,hlca,Patient Admission
C0030677,hlca,Patient Care Management
C0030678,hlca,Patient Care Planning
C0030679,hlca,Patient Care Team
C0030685,hlca,Patient Discharge
C0030695,hlca,Patient Monitoring
C0030700,hlca,Patient Readmission
C0030703,hlca,"Schedules, Patient"
C0030704,hlca,Patient Transfer
